institution_name,license_type,role,license_date_bs,location,source_id,as_of_date,notes
Nepal Clearing House Ltd.,PSO,clearing_and_payment_infrastructure,2074/04/15,Kamaladi Kathmandu,NRB009,2025-07-16,"Operates national clearing/payment infrastructure; company financial reports available separately."
SmartChoice Technology Ltd.,PSO,card_switching,2074/09/17,Baluwatar Kathmandu,NRB009,2025-07-16,"Card-network infrastructure."
Union Pay International Company Ltd.,PSO,international_card_scheme,2076/03/30,Shanghai China,NRB009,2025-07-16,"International scheme license."
Visa Worldwide Private Ltd.,PSO,international_card_scheme,2076/04/29,Singapore,NRB009,2025-07-16,"International scheme license."
Nepal Payment Solution Ltd.,PSO,payment_infrastructure,2076/07/19,Kamalpokhari Kathmandu,NRB009,2025-07-16,"Licensed PSO."
Master Card Asia/Pacific Pte Ltd.,PSO,international_card_scheme,2076/08/24,Singapore,NRB009,2025-07-16,"International scheme license."
Fonepay Payment Services Ltd.,PSO,qr_and_interbank_network,2076/10/26,Pulchowk Lalitpur,NRB009,2025-07-16,"Licensed PSO; rail-level activity cannot be allocated to individual PSPs from NRB indicators."
First Pay Technology Pvt. Ltd.,PSO,payment_infrastructure,2076/11/13,Hattisar Kathmandu,NRB009,2025-07-16,"Licensed PSO."
Gateway Payment Service Pvt. Ltd.,PSO,payment_gateway,2077/11/03,Banasthali Kathmandu,NRB009,2025-07-16,"Licensed PSO."
IME Khalti Ltd.,PSP,wallet_and_payment_services,2074/03/05,Panipokhari Kathmandu,NRB009,2025-07-16,"Successor entity following the Khalti and IME Pay merger; do not add legacy brands as separate active PSPs."
Esewa Ltd.,PSP,wallet_and_payment_services,2074/03/05,Pulchowk Lalitpur,NRB009,2025-07-16,"Licensed PSP."
Cellcom Pvt. Ltd.,PSP,telecom_linked_payment_services,2075/09/08,Airport Kathmandu,NRB009,2025-07-16,"Licensed PSP."
CG Pay Nepal Pvt. Ltd.,PSP,wallet_and_payment_services,2075/09/13,Sanepa Lalitpur,NRB009,2025-07-16,"Licensed PSP."
Pay Nep Pvt. Ltd.,PSP,wallet_and_payment_services,2076/04/15,Naxal Kathmandu,NRB009,2025-07-16,"Licensed PSP."
Que Pay Pvt. Ltd.,PSP,wallet_and_payment_services,2076/05/19,Bhadrakali Kathmandu,NRB009,2025-07-16,"Licensed PSP."
Smart Card Nepal Pvt. Ltd.,PSP,card_and_payment_services,2076/06/29,Thimi Bhaktapur,NRB009,2025-07-16,"Licensed PSP."
Prabhu Technology Pvt. Ltd.,PSP,wallet_and_payment_services,2076/11/11,Gairidhara Kathmandu,NRB009,2025-07-16,"Licensed PSP."
FocusOne Payment Solutions Pvt. Ltd.,PSP,payment_services,2076/11/29,Kamaladi Kathmandu,NRB009,2025-07-16,"Licensed PSP."
Kuraakani Pay Pvt. Ltd.,PSP,payment_services,2077/02/29,Sanepa Lalitpur,NRB009,2025-07-16,"Licensed PSP."
